ID_ligne,ID_client,Segment,ID_commande,ID_produit,Categorie,Date_de_commande,Date_d_expedition,Montant_des_ventes,Quantite,Profit,Remise
1,AP-10045,Entreprise,ES-2015-1311038,FOU-ST-10004184,Fournitures de bureau,7-2-15,11-2-15,79.2,3,39.6,0.0
2,AP-10045,Entreprise,ES-2015-1311038,PRO-AC-10003907,Produits technologiques,7-2-15,11-2-15,388.92,7,0.0,0.0
3,AP-10045,Entreprise,ES-2015-1311038,FOU-ÉT-10001648,Fournitures de bureau,7-2-15,11-2-15,35.19,3,16.11,0.0
4,AP-10045,Entreprise,ES-2015-1311038,FOU-ST-10000194,Fournitures de bureau,7-2-15,11-2-15,50.94,2,13.2,0.0
5,AP-10045,Entreprise,ES-2015-1311038,PRO-AC-10002403,Produits technologiques,7-2-15,11-2-15,307.44,3,73.71,0.0
6,AP-10045,Entreprise,ES-2015-1311038,FOU-ST-10001418,Fournitures de bureau,7-2-15,11-2-15,122.4,2,37.92,0.0
7,AP-10045,Entreprise,ES-2015-1311038,PRO-TÉ-10002604,Produits technologiques,7-2-15,11-2-15,413.82,3,20.61,0.0
8,ÉD-13840,Entreprise,ES-2013-5113958,PRO-PH-10003313,Produits technologiques,1-8-13,6-8-13,428.22,3,192.69,0.0
9,ÉD-13840,Entreprise,ES-2013-5113958,FOU-ÉL-10000564,Fournitures de bureau,1-8-13,6-8-13,3979.29,7,1989.54,0.0
10,ÉD-13840,Entreprise,ES-2013-5113958,FOU-ÉL-10003005,Fournitures de bureau,1-8-13,6-8-13,43.56,3,12.6,0.0
11,MM-17155,Grand public,ES-2013-2510515,FOU-ÉT-10003166,Fournitures de bureau,19-6-13,19-6-13,25.26,2,0.48,0.0
12,MM-17155,Grand public,ES-2013-2510515,FOU-ÉL-10001272,Fournitures de bureau,19-6-13,19-6-13,2443.905,5,760.3,0.1
13,MM-17155,Grand public,ES-2013-2510515,FOU-AR-10002809,Fournitures de bureau,19-6-13,19-6-13,12.21,1,0.0,0.0
14,MM-17155,Grand public,ES-2013-2510515,PRO-TÉ-10000278,Produits technologiques,19-6-13,19-6-13,2167.296,4,790.42,0.15
15,MM-17155,Grand public,ES-2013-2510515,FOU-ST-10000376,Fournitures de bureau,19-6-13,19-6-13,138.105,5,-12.35,0.1
16,LB-16540,Grand public,ES-2014-4380115,FOU-ST-10003576,Fournitures de bureau,15-2-14,19-2-14,128.385,3,4.28,0.1
17,LB-16540,Grand public,ES-2014-4380115,PRO-AC-10003903,Produits technologiques,15-2-14,19-2-14,690.12,6,0.0,0.0
18,LB-16540,Grand public,ES-2014-4380115,FOU-ÉT-10003923,Fournitures de bureau,15-2-14,19-2-14,8.16,1,1.14,0.0
19,AÉ-11170,Petite et moyenne entreprise,ES-2015-2573330,PRO-MA-10002809,Produits technologiques,3-11-15,8-11-15,347.88,4,76.44,0.0
20,AÉ-11170,Petite et moyenne entreprise,ES-2015-2573330,FOU-ST-10001716,Fournitures de bureau,3-11-15,8-11-15,575.505,5,12.7,0.1
21,AL-11275,Entreprise,ES-2015-1872792,FOU-CL-10001907,Fournitures de bureau,14-8-15,16-8-15,14.04,2,7.02,0.0
22,CB-12880,Entreprise,ES-2015-3412387,MOB-BI-10002377,Mobilier,18-6-15,24-6-15,268.164,2,5.9,0.1
23,LG-16795,Petite et moyenne entreprise,IT-2015-3245851,FOU-ST-10001418,Fournitures de bureau,2-5-15,5-5-15,36.72,1,-5.52,0.4
24,LG-16795,Petite et moyenne entreprise,IT-2015-3245851,PRO-AC-10000978,Produits technologiques,2-5-15,5-5-15,28.17,1,1.11,0.0
25,RR-19780,Grand public,IT-2014-1215824,FOU-ST-10000763,Fournitures de bureau,12-8-14,16-8-14,279.72,5,-6.33,0.1
26,RR-19780,Grand public,IT-2014-1215824,FOU-AR-10004495,Fournitures de bureau,12-8-14,16-8-14,108.78,7,35.7,0.0
27,TC-20920,Grand public,ES-2015-2557751,PRO-MA-10004314,Produits technologiques,28-2-15,4-3-15,332.01,7,112.77,0.0
28,TC-20920,Grand public,ES-2015-2557751,FOU-ST-10004651,Fournitures de bureau,28-2-15,4-3-15,110.025,5,-12.22,0.1
29,TC-20920,Grand public,ES-2015-2557751,FOU-ÉL-10003473,Fournitures de bureau,28-2-15,4-3-15,41.94,3,7.92,0.0
30,AG-10750,Grand public,ES-2015-4134792,PRO-AC-10003166,Produits technologiques,11-9-15,15-9-15,192.6,5,32.7,0.0
31,AG-10750,Grand public,ES-2015-4134792,PRO-TÉ-10001470,Produits technologiques,11-9-15,15-9-15,336.24,2,43.68,0.0
32,DN-13270,Petite et moyenne entreprise,ES-2012-2801336,FOU-CL-10003330,Fournitures de bureau,1-6-12,5-6-12,102.54,2,35.88,0.0
33,LG-16795,Petite et moyenne entreprise,ES-2014-5191940,FOU-PA-10003185,Fournitures de bureau,14-8-14,19-8-14,63.27,3,30.96,0.0
34,LG-16795,Petite et moyenne entreprise,ES-2014-5191940,FOU-PA-10001500,Fournitures de bureau,14-8-14,19-8-14,55.92,2,8.34,0.0
35,PG-18775,Petite et moyenne entreprise,ES-2014-4020783,FOU-AR-10003846,Fournitures de bureau,25-11-14,27-11-14,76.14,3,25.11,0.0
36,RC-20020,Grand public,ES-2014-3284813,FOU-AR-10000913,Fournitures de bureau,31-5-14,5-6-14,155.52,3,23.31,0.0
37,RC-20020,Grand public,ES-2014-3284813,FOU-ST-10002992,Fournitures de bureau,31-5-14,5-6-14,46.17,5,8.07,0.1
38,RC-20020,Grand public,ES-2014-3284813,FOU-ÉT-10003705,Fournitures de bureau,31-5-14,5-6-14,37.26,3,8.91,0.0
39,TB-21280,Grand public,IT-2015-5016792,FOU-PA-10003425,Fournitures de bureau,10-1-15,12-1-15,90.9,6,15.3,0.0
